hero_1,hero_2,hero_3,hero_4,hero_5
riki,tinker,sniper,life_stealer,slark
drow_ranger,zuus,slardar,luna,spectre
mirana,pudge,tinker,phantom_assassin,viper
crystal_maiden,storm_spirit,queenofpain,faceless_void,phantom_assassin
axe,juggernaut,mirana,pudge,invoker
juggernaut,skeleton_king,bounty_hunter,ancient_apparition,legion_commander
drow_ranger,nevermore,faceless_void,bristleback,legion_commander
kunkka,lina,faceless_void,obsidian_destroyer,rubick
mirana,sand_king,sven,sniper,arc_warden
death_prophet,batrider,spirit_breaker,gyrocopter,legion_commander
juggernaut,dark_seer,ogre_magi,shredder,legion_commander
crystal_maiden,phantom_assassin,life_stealer,bounty_hunter,phoenix
windrunner,skeleton_king,ancient_apparition,nyx_assassin,ember_spirit
mirana,tinker,phantom_assassin,life_stealer,bounty_hunter
necrolyte,viper,luna,troll_warlord,elder_titan
phantom_lancer,sven,slardar,queenofpain,dark_seer
mirana,pugna,batrider,alchemist,ember_spirit
storm_spirit,queenofpain,faceless_void,rattletrap,ogre_magi
juggernaut,pugna,chaos_knight,undying,elder_titan
axe,juggernaut,mirana,enigma,alchemist
drow_ranger,lion,dragon_knight,omniknight,spirit_breaker
tiny,sniper,faceless_void,silencer,ogre_magi
mirana,pudge,slardar,phantom_assassin,dark_seer
pudge,huskar,weaver,invoker,ogre_magi
pudge,lina,dragon_knight,doom_bringer,slark
juggernaut,dark_seer,ancient_apparition,invoker,chaos_knight
juggernaut,witch_doctor,phantom_assassin,rattletrap,alchemist
morphling,pudge,dragon_knight,life_stealer,shredder
antimage,mirana,rattletrap,shredder,legion_commander
juggernaut,alchemist,lone_druid,shredder,winter_wyvern
axe,mirana,phantom_assassin,bristleback,winter_wyvern
zuus,sniper,weaver,gyrocopter,abaddon
axe,crystal_maiden,pudge,furion,obsidian_destroyer
axe,necrolyte,chaos_knight,ogre_magi,undying
tinker,ancient_apparition,slark,bristleback,legion_commander
crystal_maiden,necrolyte,rubick,keeper_of_the_light,centaur
antimage,axe,juggernaut,phantom_assassin,rubick
antimage,axe,witch_doctor,skeleton_king,tusk
axe,dragon_knight,centaur,legion_commander,techies
windrunner,tidehunter,skeleton_king,spectre,ancient_apparition
tiny,tinker,omniknight,alchemist,keeper_of_the_light
phantom_lancer,lina,ursa,slark,ember_spirit
sven,windrunner,zuus,faceless_void,visage
antimage,morphling,pudge,kunkka,ogre_magi
drow_ranger,alchemist,ogre_magi,shredder,techies
mirana,windrunner,phantom_assassin,silencer,magnataur
antimage,bloodseeker,zuus,riki,rubick
mirana,pudge,vengefulspirit,kunkka,spectre
sand_king,tinker,faceless_void,medusa,tusk
phantom_lancer,sand_king,faceless_void,death_prophet,obsidian_destroyer
morphling,batrider,nyx_assassin,slark,elder_titan
bloodseeker,morphling,kunkka,invoker,ogre_magi
riki,sniper,night_stalker,bounty_hunter,oracle
earthshaker,lion,necrolyte,huskar,ember_spirit
pudge,death_prophet,weaver,ancient_apparition,shredder
kunkka,faceless_void,luna,furion,invoker
drow_ranger,windrunner,weaver,ogre_magi,disruptor
drow_ranger,slardar,phantom_assassin,dark_seer,legion_commander
omniknight,invoker,nyx_assassin,bristleback,legion_commander
warlock,dazzle,spectre,ursa,chaos_knight
slardar,viper,dazzle,slark,ember_spirit
bloodseeker,kunkka,omniknight,silencer,lone_druid
drow_ranger,riki,night_stalker,invoker,treant
bane,phantom_lancer,phantom_assassin,life_stealer,huskar
drow_ranger,pudge,spirit_breaker,disruptor,centaur
enigma,venomancer,phantom_assassin,silencer,ember_spirit
storm_spirit,clinkz,weaver,batrider,chaos_knight
pudge,zuus,sniper,templar_assassin,legion_commander
crystal_maiden,tinker,life_stealer,spirit_breaker,bristleback
antimage,dragon_knight,life_stealer,jakiro,rubick
sand_king,lion,life_stealer,huskar,bounty_hunter
axe,drow_ranger,mirana,faceless_void,elder_titan
earthshaker,sand_king,storm_spirit,phantom_assassin,centaur
tiny,skeleton_king,obsidian_destroyer,legion_commander,phoenix
phantom_assassin,bounty_hunter,slark,shredder,legion_commander
drow_ranger,lina,phantom_assassin,pugna,medusa
phantom_lancer,riki,phantom_assassin,ursa,bristleback
vengefulspirit,slardar,rubick,shredder,legion_commander
bloodseeker,sand_king,dazzle,naga_siren,legion_commander
mirana,kunkka,tidehunter,skeleton_king,legion_commander
lina,skeleton_king,phantom_assassin,rattletrap,slark
crystal_maiden,enigma,faceless_void,viper,undying
drow_ranger,mirana,huskar,bristleback,abaddon
antimage,invoker,ogre_magi,centaur,shredder
axe,drow_ranger,nevermore,lycan,ogre_magi
antimage,enigma,phantom_assassin,bounty_hunter,slark
skeleton_king,bounty_hunter,spectre,invoker,disruptor
drow_ranger,life_stealer,huskar,weaver,wisp
drow_ranger,nevermore,death_prophet,bristleback,terrorblade
nevermore,sven,shadow_shaman,sniper,legion_commander
sven,tinker,huskar,slark,shredder
mirana,pudge,riki,death_prophet,life_stealer
mirana,riki,luna,abaddon,legion_commander
sven,witch_doctor,warlock,faceless_void,alchemist
antimage,earthshaker,invoker,chaos_knight,abaddon
axe,luna,life_stealer,spirit_breaker,wisp
juggernaut,mirana,tidehunter,faceless_void,nyx_assassin
drow_ranger,mirana,spectre,silencer,keeper_of_the_light
drow_ranger,mirana,pudge,ancient_apparition,shredder
mirana,pudge,zuus,riki,legion_commander
juggernaut,mirana,phantom_assassin,invoker,undying
mirana,sniper,nyx_assassin,bristleback,legion_commander
earthshaker,faceless_void,invoker,medusa,legion_commander
axe,phantom_lancer,witch_doctor,night_stalker,bristleback
juggernaut,mirana,faceless_void,death_prophet,batrider
drow_ranger,skeleton_king,huskar,batrider,phoenix
razor,lina,huskar,bristleback,legion_commander
drow_ranger,templar_assassin,spirit_breaker,magnataur,techies
windrunner,faceless_void,skeleton_king,bounty_hunter,medusa
drow_ranger,lina,rubick,troll_warlord,bristleback
antimage,phantom_lancer,clinkz,bounty_hunter,phoenix
axe,pudge,windrunner,skeleton_king,techies
bane,mirana,riki,slark,elder_titan
beastmaster,life_stealer,slark,ember_spirit,winter_wyvern
juggernaut,mirana,windrunner,omniknight,ursa
axe,juggernaut,pudge,bristleback,legion_commander
bloodseeker,pudge,lion,riki,phantom_assassin
mirana,zuus,night_stalker,alchemist,shadow_demon
pudge,shadow_shaman,slardar,huskar,ursa
antimage,pudge,skeleton_king,silencer,skywrath_mage
crystal_maiden,juggernaut,pudge,lion,skywrath_mage
antimage,riki,ursa,invoker,brewmaster
phantom_lancer,faceless_void,rattletrap,ursa,disruptor
drow_ranger,pudge,vengefulspirit,dragon_knight,ember_spirit
drow_ranger,storm_spirit,tiny,necrolyte,bristleback
axe,omniknight,huskar,keeper_of_the_light,slark
pudge,phantom_assassin,furion,ancient_apparition,undying
pudge,storm_spirit,windrunner,ancient_apparition,meepo
mirana,zuus,luna,life_stealer,clinkz
sven,sniper,faceless_void,ancient_apparition,elder_titan
juggernaut,phantom_lancer,zuus,necrolyte,shadow_demon
juggernaut,mirana,tiny,enigma,bristleback
bloodseeker,zuus,rattletrap,night_stalker,invoker
zuus,phantom_assassin,ancient_apparition,shadow_demon,chaos_knight
mirana,sand_king,luna,slark,troll_warlord
storm_spirit,faceless_void,ogre_magi,disruptor,shredder
crystal_maiden,juggernaut,pudge,skeleton_king,doom_bringer
antimage,lina,viper,invoker,legion_commander
witch_doctor,sniper,faceless_void,slark,legion_commander
necrolyte,phantom_assassin,dragon_knight,huskar,jakiro
mirana,venomancer,lycan,slark,centaur
antimage,drow_ranger,lion,bounty_hunter,weaver
earthshaker,morphling,doom_bringer,shadow_demon,shredder
pudge,sven,omniknight,night_stalker,slark
drow_ranger,earthshaker,vengefulspirit,riki,alchemist
bane,drow_ranger,mirana,riki,faceless_void
mirana,zuus,huskar,ember_spirit,terrorblade
drow_ranger,venomancer,viper,luna,legion_commander
nevermore,invoker,chaos_knight,keeper_of_the_light,slark
sven,queenofpain,phantom_assassin,dark_seer,legion_commander
crystal_maiden,lion,sniper,faceless_void,enchantress
earthshaker,morphling,sven,nyx_assassin,legion_commander
puck,pugna,templar_assassin,omniknight,troll_warlord
riki,death_prophet,life_stealer,omniknight,enchantress
riki,invoker,disruptor,slark,magnataur
broodmother,spectre,lycan,legion_commander,oracle
morphling,silencer,ogre_magi,medusa,bristleback
crystal_maiden,riki,sniper,huskar,slark
vengefulspirit,enigma,venomancer,huskar,slark
crystal_maiden,vengefulspirit,zuus,tidehunter,dark_seer
axe,riki,faceless_void,spectre,techies
juggernaut,pudge,slardar,terrorblade,winter_wyvern
bloodseeker,mirana,pudge,legion_commander,ember_spirit
drow_ranger,kunkka,sniper,leshrac,medusa
pudge,huskar,ancient_apparition,medusa,troll_warlord
antimage,faceless_void,viper,magnataur,techies
witch_doctor,faceless_void,skeleton_king,spectre,invoker
antimage,mirana,night_stalker,invoker,shredder
sniper,faceless_void,spectre,rubick,magnataur
phantom_lancer,skeleton_king,ogre_magi,medusa,ember_spirit
mirana,phantom_lancer,faceless_void,invoker,disruptor
bane,drow_ranger,windrunner,faceless_void,phantom_assassin
bloodseeker,sven,phantom_assassin,furion,medusa
storm_spirit,riki,lycan,chaos_knight,undying
antimage,drow_ranger,mirana,tidehunter,tinker
mirana,dazzle,furion,clinkz,legion_commander
axe,phantom_assassin,huskar,meepo,shredder
pudge,necrolyte,skeleton_king,bounty_hunter,troll_warlord
crystal_maiden,pudge,viper,dragon_knight,legion_commander
antimage,tidehunter,riki,life_stealer,invoker
pudge,storm_spirit,doom_bringer,shadow_demon,slark
juggernaut,pudge,slardar,phantom_assassin,ancient_apparition
mirana,phantom_lancer,kunkka,invoker,shadow_demon
morphling,huskar,alchemist,ogre_magi,elder_titan
antimage,bloodseeker,nevermore,lion,skeleton_king
zuus,faceless_void,luna,obsidian_destroyer,keeper_of_the_light
sniper,faceless_void,phantom_assassin,bounty_hunter,spirit_breaker
dark_seer,clinkz,bounty_hunter,elder_titan,legion_commander
antimage,puck,sven,luna,skywrath_mage
morphling,windrunner,riki,phantom_assassin,bristleback
drow_ranger,sniper,phantom_assassin,invoker,skywrath_mage
phantom_lancer,tinker,warlock,faceless_void,legion_commander
lion,enigma,viper,luna,slark
drow_ranger,vengefulspirit,phantom_assassin,viper,elder_titan
earthshaker,death_prophet,phantom_assassin,dazzle,shredder
antimage,mirana,pudge,slark,elder_titan
antimage,crystal_maiden,vengefulspirit,tinker,faceless_void
puck,pudge,beastmaster,viper,spectre
drow_ranger,sand_king,tinker,rattletrap,legion_commander
antimage,kunkka,necrolyte,dazzle,slark
mirana,morphling,sand_king,tinker,shredder
drow_ranger,mirana,ancient_apparition,disruptor,troll_warlord
earthshaker,sniper,phantom_assassin,life_stealer,batrider
mirana,morphling,pudge,ogre_magi,legion_commander
axe,kunkka,naga_siren,elder_titan,terrorblade
crystal_maiden,earthshaker,faceless_void,phantom_assassin,huskar
mirana,slardar,lich,huskar,weaver
phantom_lancer,zuus,shadow_shaman,slark,terrorblade
windrunner,rattletrap,furion,life_stealer,bounty_hunter
pudge,sven,tinker,tusk,legion_commander
bane,bloodseeker,invoker,slark,legion_commander
mirana,nevermore,riki,spirit_breaker,troll_warlord
mirana,warlock,queenofpain,tusk,legion_commander
nevermore,windrunner,slardar,queenofpain,phantom_assassin
pudge,enigma,furion,ursa,alchemist
drow_ranger,sand_king,zuus,luna,spectre
puck,pudge,sniper,ursa,legion_commander
bane,mirana,windrunner,riki,slark
antimage,lion,venomancer,phantom_assassin,spirit_breaker
axe,pudge,phantom_assassin,jakiro,slark
drow_ranger,faceless_void,bounty_hunter,invoker,legion_commander
juggernaut,mirana,medusa,shredder,phoenix
crystal_maiden,phantom_lancer,sven,riki,bounty_hunter
sven,queenofpain,faceless_void,phantom_assassin,ancient_apparition
antimage,riki,invoker,nyx_assassin,elder_titan
sven,slardar,riki,life_stealer,centaur
morphling,dragon_knight,omniknight,silencer,ogre_magi
tiny,sniper,death_prophet,phantom_assassin,life_stealer
juggernaut,storm_spirit,lion,slardar,disruptor
drow_ranger,sniper,furion,ursa,spirit_breaker
axe,bloodseeker,crystal_maiden,venomancer,phantom_assassin
axe,mirana,nevermore,dark_seer,medusa
zuus,warlock,dazzle,clinkz,elder_titan
tiny,lina,dragon_knight,ancient_apparition,legion_commander
nevermore,storm_spirit,huskar,wisp,shredder
antimage,lina,tinker,broodmother,jakiro
juggernaut,windrunner,witch_doctor,silencer,elder_titan
enigma,sniper,warlock,ancient_apparition,bristleback
slardar,faceless_void,ancient_apparition,slark,elder_titan
antimage,pudge,slardar,pugna,legion_commander
antimage,mirana,ursa,invoker,ogre_magi
tinker,shadow_demon,disruptor,slark,legion_commander
mirana,sand_king,windrunner,riki,ursa
mirana,pudge,zuus,sniper,luna
