hero_1,hero_2,hero_3,hero_4,hero_5
nevermore,death_prophet,templar_assassin,brewmaster,centaur
riki,faceless_void,life_stealer,ancient_apparition,spirit_breaker
nevermore,tiny,tidehunter,enigma,magnataur
pudge,slardar,slark,elder_titan,ember_spirit
drow_ranger,pudge,sand_king,necrolyte,phantom_assassin
sven,sniper,dragon_knight,shredder,phoenix
lion,tinker,viper,treant,troll_warlord
axe,juggernaut,razor,viper,techies
riki,huskar,ursa,invoker,ogre_magi
mirana,queenofpain,clinkz,shadow_demon,naga_siren
drow_ranger,juggernaut,sniper,weaver,invoker
sand_king,tinker,dragon_knight,nyx_assassin,terrorblade
crystal_maiden,sand_king,viper,huskar,legion_commander
bloodseeker,razor,witch_doctor,clinkz,weaver
antimage,sand_king,phantom_assassin,spirit_breaker,silencer
mirana,vengefulspirit,skeleton_king,phantom_assassin,spirit_breaker
antimage,mirana,queenofpain,invoker,legion_commander
kunkka,sniper,ursa,obsidian_destroyer,bristleback
mirana,pudge,dark_seer,chaos_knight,bristleback
drow_ranger,mirana,tinker,dragon_knight,disruptor
crystal_maiden,drow_ranger,pudge,sniper,bounty_hunter
axe,drow_ranger,riki,phantom_assassin,slark
antimage,bloodseeker,morphling,pudge,storm_spirit
storm_spirit,shadow_shaman,slardar,skeleton_king,wisp
drow_ranger,mirana,riki,shadow_demon,rubick
axe,pudge,phantom_assassin,leshrac,legion_commander
sven,lina,keeper_of_the_light,troll_warlord,skywrath_mage
drow_ranger,sven,tinker,spectre,centaur
mirana,lion,beastmaster,faceless_void,ogre_magi
pudge,luna,life_stealer,night_stalker,spirit_breaker
axe,nevermore,riki,tinker,silencer
drow_ranger,kunkka,spectre,spirit_breaker,skywrath_mage
drow_ranger,slardar,witch_doctor,skeleton_king,dragon_knight
drow_ranger,pudge,kunkka,pugna,spectre
morphling,razor,windrunner,omniknight,tusk
antimage,slardar,tinker,shredder,phoenix
axe,vengefulspirit,venomancer,weaver,doom_bringer
skeleton_king,phantom_assassin,chen,ursa,silencer
drow_ranger,tiny,lina,clinkz,chaos_knight
nevermore,riki,spectre,spirit_breaker,phoenix
pudge,sand_king,lina,spectre,shadow_demon
razor,faceless_void,death_prophet,ancient_apparition,elder_titan
axe,bloodseeker,mirana,tiny,zuus
drow_ranger,mirana,slardar,witch_doctor,queenofpain
tiny,furion,broodmother,wisp,ember_spirit
kunkka,warlock,enchantress,weaver,spectre
sand_king,sven,tiny,zuus,phantom_assassin
mirana,pudge,vengefulspirit,phantom_assassin,legion_commander
lina,slardar,viper,clinkz,alchemist
windrunner,skeleton_king,phantom_assassin,huskar,techies
bane,juggernaut,riki,queenofpain,phantom_assassin
morphling,kunkka,witch_doctor,dazzle,magnataur
bloodseeker,mirana,vengefulspirit,undying,slark
drow_ranger,tidehunter,riki,phantom_assassin,omniknight
sven,tidehunter,enigma,tinker,warlock
antimage,witch_doctor,omniknight,weaver,doom_bringer
drow_ranger,windrunner,dazzle,bristleback,legion_commander
pudge,faceless_void,silencer,ogre_magi,ember_spirit
mirana,lich,faceless_void,doom_bringer,slark
mirana,storm_spirit,phantom_assassin,spectre,ancient_apparition
zuus,slardar,silencer,obsidian_destroyer,keeper_of_the_light
crystal_maiden,venomancer,phantom_assassin,meepo,abaddon
storm_spirit,omniknight,slark,medusa,legion_commander
bloodseeker,witch_doctor,warlock,alchemist,troll_warlord
sand_king,lina,luna,gyrocopter,tusk
axe,phantom_assassin,life_stealer,gyrocopter,obsidian_destroyer
drow_ranger,pudge,tinker,dazzle,troll_warlord
axe,nevermore,spectre,slark,legion_commander
pudge,sniper,necrolyte,obsidian_destroyer,legion_commander
mirana,slardar,phantom_assassin,gyrocopter,slark
nevermore,huskar,spirit_breaker,invoker,winter_wyvern
juggernaut,mirana,nevermore,rattletrap,rubick
bloodseeker,phantom_lancer,pudge,death_prophet,techies
pudge,zuus,nyx_assassin,tusk,terrorblade
death_prophet,huskar,ursa,invoker,legion_commander
storm_spirit,beastmaster,ogre_magi,naga_siren,phoenix
mirana,pudge,slark,shredder,legion_commander
nevermore,sven,ancient_apparition,disruptor,legion_commander
mirana,sven,necrolyte,faceless_void,invoker
morphling,puck,lion,abaddon,phoenix
drow_ranger,mirana,phantom_lancer,luna,night_stalker
earthshaker,mirana,lion,ancient_apparition,ember_spirit
bloodseeker,zuus,slardar,slark,techies
phantom_lancer,riki,tinker,omniknight,medusa
mirana,disruptor,slark,shredder,legion_commander
jakiro,meepo,treant,techies,ember_spirit
earthshaker,mirana,zuus,skeleton_king,naga_siren
axe,earthshaker,pudge,kunkka,necrolyte
night_stalker,gyrocopter,shadow_demon,undying,nyx_assassin
pudge,phantom_assassin,templar_assassin,life_stealer,centaur
mirana,phantom_lancer,kunkka,faceless_void,nyx_assassin
earthshaker,slardar,riki,luna,medusa
tinker,venomancer,furion,spirit_breaker,lone_druid
storm_spirit,sven,skeleton_king,abaddon,legion_commander
puck,kunkka,faceless_void,shadow_demon,shredder
drow_ranger,mirana,vengefulspirit,faceless_void,shadow_demon
phantom_lancer,windrunner,enchantress,broodmother,slark
axe,pudge,storm_spirit,bounty_hunter,slark
mirana,sven,tiny,lion,ogre_magi
crystal_maiden,phantom_assassin,ursa,invoker,legion_commander
drow_ranger,earthshaker,silencer,nyx_assassin,bristleback
phantom_lancer,riki,weaver,alchemist,silencer
queenofpain,viper,life_stealer,ancient_apparition,legion_commander
vengefulspirit,queenofpain,skeleton_king,brewmaster,legion_commander
drow_ranger,pudge,obsidian_destroyer,ogre_magi,wisp
earthshaker,sven,riki,viper,invoker
rattletrap,bounty_hunter,silencer,slark,troll_warlord
skeleton_king,clinkz,weaver,disruptor,legion_commander
axe,kunkka,lina,lion,clinkz
crystal_maiden,juggernaut,windrunner,dragon_knight,shadow_demon
mirana,shadow_demon,rubick,medusa,legion_commander
antimage,bloodseeker,sven,tinker,ursa
pudge,razor,kunkka,rattletrap,rubick
earthshaker,sven,omniknight,alchemist,legion_commander
bloodseeker,juggernaut,sand_king,viper,furion
mirana,pudge,phantom_assassin,templar_assassin,ogre_magi
life_stealer,dark_seer,spectre,spirit_breaker,invoker
morphling,riki,life_stealer,gyrocopter,shredder
pudge,lion,riki,viper,huskar
slardar,sniper,warlock,phantom_assassin,legion_commander
mirana,tinker,phantom_assassin,tusk,legion_commander
slardar,invoker,rubick,slark,legion_commander
earthshaker,windrunner,phantom_assassin,life_stealer,huskar
storm_spirit,windrunner,kunkka,faceless_void,furion
axe,crystal_maiden,zuus,life_stealer,disruptor
riki,omniknight,troll_warlord,centaur,abaddon
juggernaut,mirana,tidehunter,bounty_hunter,medusa
bloodseeker,sven,riki,tinker,dark_seer
storm_spirit,dazzle,weaver,bristleback,legion_commander
storm_spirit,riki,skeleton_king,night_stalker,slark
sven,invoker,ogre_magi,slark,phoenix
pudge,phantom_assassin,bounty_hunter,spirit_breaker,invoker
axe,drow_ranger,sven,weaver,gyrocopter
drow_ranger,mirana,invoker,ogre_magi,rubick
antimage,tinker,skeleton_king,pugna,ancient_apparition
nevermore,windrunner,shadow_shaman,skeleton_king,terrorblade
antimage,axe,phantom_assassin,jakiro,shredder
kunkka,silencer,magnataur,bristleback,winter_wyvern
drow_ranger,mirana,vengefulspirit,windrunner,riki
drow_ranger,morphling,puck,ursa,legion_commander
sand_king,bounty_hunter,slark,shredder,elder_titan
antimage,furion,bounty_hunter,invoker,treant
phantom_lancer,riki,beastmaster,queenofpain,nyx_assassin
drow_ranger,mirana,lion,slardar,dark_seer
juggernaut,pudge,bounty_hunter,ancient_apparition,legion_commander
riki,templar_assassin,clinkz,ursa,terrorblade
sand_king,slardar,riki,shredder,elder_titan
drow_ranger,mirana,faceless_void,furion,invoker
antimage,puck,shadow_shaman,faceless_void,invoker
antimage,mirana,phantom_lancer,life_stealer,spectre
riki,life_stealer,weaver,spectre,shredder
axe,mirana,pudge,queenofpain,brewmaster
mirana,necrolyte,faceless_void,obsidian_destroyer,undying
antimage,omniknight,ancient_apparition,nyx_assassin,legion_commander
windrunner,enigma,phantom_assassin,night_stalker,legion_commander
pudge,alchemist,invoker,obsidian_destroyer,keeper_of_the_light
axe,storm_spirit,phantom_assassin,ancient_apparition,phoenix
mirana,zuus,venomancer,phantom_assassin,pugna
mirana,pudge,enigma,life_stealer,invoker
tidehunter,queenofpain,phantom_assassin,rattletrap,huskar
mirana,pudge,sand_king,zuus,slark
juggernaut,puck,phantom_assassin,huskar,silencer
crystal_maiden,kunkka,dragon_knight,silencer,slark
earthshaker,mirana,doom_bringer,ursa,alchemist
mirana,lion,life_stealer,slark,ember_spirit
razor,sniper,phantom_assassin,clinkz,jakiro
antimage,mirana,luna,furion,bristleback
lion,sniper,phantom_assassin,broodmother,elder_titan
sven,vengefulspirit,riki,life_stealer,ember_spirit
faceless_void,phantom_assassin,huskar,invoker,shredder
drow_ranger,pudge,ogre_magi,undying,slark
bloodseeker,nevermore,phantom_lancer,razor,huskar
earthshaker,mirana,riki,templar_assassin,life_stealer
bloodseeker,phantom_lancer,slardar,sniper,necrolyte
pudge,vengefulspirit,windrunner,sniper,visage
sven,phantom_assassin,invoker,disruptor,abaddon
nevermore,tidehunter,witch_doctor,enigma,spectre
kunkka,riki,omniknight,alchemist,legion_commander
axe,bloodseeker,weaver,ogre_magi,medusa
slardar,skeleton_king,viper,luna,life_stealer
razor,witch_doctor,medusa,legion_commander,ember_spirit
bane,razor,tinker,disruptor,abaddon
pudge,razor,sven,weaver,silencer
sven,enigma,phantom_assassin,bounty_hunter,ancient_apparition
antimage,morphling,pudge,slardar,venomancer
juggernaut,kunkka,rattletrap,life_stealer,spectre
mirana,witch_doctor,life_stealer,omniknight,weaver
bloodseeker,drow_ranger,lina,skeleton_king,luna
drow_ranger,mirana,pudge,riki,phantom_assassin
axe,kunkka,weaver,spectre,naga_siren
morphling,lina,lion,faceless_void,ogre_magi
kunkka,phantom_assassin,life_stealer,doom_bringer,spirit_breaker
axe,mirana,lich,sniper,warlock
drow_ranger,keeper_of_the_light,magnataur,skywrath_mage,techies
antimage,juggernaut,mirana,jakiro,alchemist
crystal_maiden,phantom_lancer,pudge,slark,legion_commander
drow_ranger,venomancer,death_prophet,furion,legion_commander
pudge,phantom_assassin,templar_assassin,keeper_of_the_light,centaur
bloodseeker,tidehunter,sniper,necrolyte,life_stealer
crystal_maiden,spectre,magnataur,abaddon,legion_commander
drow_ranger,sniper,alchemist,treant,tusk
pudge,storm_spirit,lion,necrolyte,life_stealer
axe,pudge,sniper,invoker,ogre_magi
juggernaut,sand_king,clinkz,silencer,legion_commander
antimage,pudge,witch_doctor,life_stealer,doom_bringer
windrunner,faceless_void,wisp,shredder,bristleback
puck,sven,riki,dazzle,bounty_hunter
antimage,drow_ranger,sven,riki,sniper
templar_assassin,rattletrap,spectre,visage,oracle
